step_id,pid,interaction_id,order_id,level,text_entry,text_type,who,category,subcat,end,status,date,time,dt
18,2,1,3,1,"""How should I start the outline of my paper?"" ",query,user,user_write,writing,0,start,9/29/2021,13:00,9/29/2021 13:00
19,2,1,4,1, Choose Paper structure,user_choice,user,writing,faq,0,start,9/29/2021,13:00,9/29/2021 13:00
20,2,1,5,2, Yes explore other paper requirements,prompt,bot,writing,faq,0,assign,9/29/2021,13:01,9/29/2021 13:01
21,2,1,6,1, Go --> FAQs,bot_move,bot,writing,faq,0,start,9/29/2021,13:01,9/29/2021 13:01
22,2,1,7,2, Submission requirements,prompt,bot,writing,faq,0,start,9/29/2021,13:01,9/29/2021 13:01
23,2,1,8,3, Yes explore other paper requirements,prompt,bot,writing,faq,0,assign,9/29/2021,13:01,9/29/2021 13:01
24,2,1,9,1, Go --> FAQs,bot_move,bot,writing,faq,0,start,9/29/2021,13:01,9/29/2021 13:01
25,3,1,1,1,"""What are some ways to organize my paper so they are easily followed""",query,user,user_write,writing,0,start,9/29/2021,14:00,9/29/2021 14:00
26,3,1,2,1, Choose Paper structure,user_choice,user,writing,faq,0,start,9/29/2021,14:00,9/29/2021 14:00
27,3,1,3,2, Yes explore other paper requirements,prompt,bot,writing,faq,0,assign,9/29/2021,14:00,9/29/2021 14:00
28,3,1,4,1, Go --> Submission requirements,bot_move,bot,writing,faq,0,start,9/29/2021,14:01,9/29/2021 14:01
29,3,1,5,2, Paper length,prompt,bot,writing,faq,0,start,9/29/2021,14:01,9/29/2021 14:01
30,3,1,6,3, No explore other paper requirements,prompt,bot,writing,faq,0,assign,9/29/2021,14:01,9/29/2021 14:01
31,3,1,7,3, No explore other topics,prompt,bot,writing,faq,0,assign,9/29/2021,14:02,9/29/2021 14:02
32,3,1,8,4, End,prompt,bot,end,bot,1,end,9/29/2021,14:02,9/29/2021 14:02
33,4,1,1,1,"""How do you relate chemistry to water footpring?""",query,user,user_chem,chemistry,0,start,9/29/2021,17:00,9/29/2021 17:00
34,4,1,2,1, Choose Incorporating science,user_choice,user,science,general,0,start,9/29/2021,17:01,9/29/2021 17:01
35,4,1,3,2, How much science,prompt,bot,science,how-much,0,assign,9/29/2021,17:01,9/29/2021 17:01
36,4,1,4,3, Yes review paper topic ,prompt,bot,science,how-much,0,assign,9/29/2021,17:01,9/29/2021 17:01
37,4,1,5,1,Go --> Check and choosing a topic,bot_move,bot,writing,check-choose,0,start,9/29/2021,17:02,9/29/2021 17:02
38,4,1,6,2, I have an idea,prompt,bot,writing,check-choose,0,start,9/29/2021,17:02,9/29/2021 17:02
39,4,1,7,3, Yes main topic,prompt,bot,writing,check-choose,0,assign,9/29/2021,17:02,9/29/2021 17:02
40,4,1,8,3, No sustainability,prompt,bot,writing,check-choose,0,assign,9/29/2021,17:02,9/29/2021 17:02
41,4,1,9,3, No tie in chemistry,prompt,bot,writing,check-choose,0,assign,9/29/2021,17:03,9/29/2021 17:03
42,4,1,10,4, Like to go back to the drawing board ,prompt,bot,top,top,0,assign,9/29/2021,17:03,9/29/2021 17:03
43,4,1,11,1, Go --> Top help,bot_move,bot,top,top,-1,start,9/29/2021,17:03,9/29/2021 17:03
44,5,1,1,1,"""I need a topic for my paper""",query,user,user_main,main_topic,0,start,9/29/2021,20:00,9/29/2021 20:00
45,5,1,2,1, Route --> Do you have something in mind?,bot_match,bot,writing,check-choose,0,start,9/29/2021,20:00,9/29/2021 20:00
46,5,1,3,2,"""Sustainability water footprint carbon footprint embodied carbon""",query,user,user_main,main_topic,0,start,9/29/2021,20:00,9/29/2021 20:00
47,5,1,4,2, Choose Sustainability of carbon footprint,user_choice,user,main_topic,carbon-foot,0,start,9/29/2021,20:01,9/29/2021 20:01
48,5,1,5,3, How much science,prompt,bot,science,how-much,0,assign,9/29/2021,20:01,9/29/2021 20:01
49,5,1,6,3, Yes review paper topic,prompt,bot,writing,faq,0,abort,9/29/2021,20:01,9/29/2021 20:01
50,6,1,1,1,"""I am wondering how to add chemistry section to my paper""",query,user,user_chem,chemistry,0,start,9/30/2021,07:10,9/30/2021 07:10
51,6,1,2,1, Choose Incorporating science,user_choice,user,science,general,0,start,9/30/2021,07:10,9/30/2021 07:10
52,6,1,3,2, Level of science,prompt,bot,science,level,0,assign,9/30/2021,07:10,9/30/2021 07:10
53,6,1,4,3, Yes this helps,prompt,bot,science,level,0,assign,9/30/2021,07:11,9/30/2021 07:11
54,6,1,5,3, No extra help,prompt,bot,science,level,0,assign,9/30/2021,07:11,9/30/2021 07:11
55,6,1,6,3, No other modules,prompt,bot,science,level,0,assign,9/30/2021,07:12,9/30/2021 07:12
56,6,1,7,3, End,prompt,bot,end,bot,1,end,9/30/2021,07:12,9/30/2021 07:12
57,7,1,1,1,"""How should the paper be organized? What is the preferred format?""",prompt,bot,user_write,writing,0,start,9/30/2021,07:12,9/30/2021 07:12
58,7,1,2,1, Choose Paper structure,user_choice,user,writing,faq,0,start,9/30/2021,13:11,9/30/2021 13:11
59,7,1,3,2, Yes explore paper requirements ,prompt,bot,writing,faq,0,assign,9/30/2021,13:11,9/30/2021 13:11
60,7,1,4,2, Go --> FAQs,bot_move,bot,writing,faq,0,start,9/30/2021,13:11,9/30/2021 13:11
61,7,1,5,3, Submission requirements,prompt,bot,writing,faq,0,assign,9/30/2021,13:11,9/30/2021 13:11
62,7,1,6,4, No other paper requirements,prompt,bot,writing,faq,0,assign,9/30/2021,13:11,9/30/2021 13:11
63,7,1,7,4, Yes other topics ,prompt,bot,writing,faq,0,assign,9/30/2021,13:12,9/30/2021 13:12
64,7,1,8,1, Go --> Top help,bot_move,bot,top,top,0,start,9/30/2021,13:12,9/30/2021 13:12
65,7,1,9,2, Carbon footprint,prompt,bot,main_topic,carbon-foot,0,assign,9/30/2021,13:12,9/30/2021 13:12
66,7,1,10,3, Carbon footprint impact,prompt,bot,main_topic,carbon-foot,0,assign,9/30/2021,13:12,9/30/2021 13:12
67,7,1,11,3, Carbon footprint sustainability,prompt,bot,main_topic,carbon-foot,0,assign,9/30/2021,13:12,9/30/2021 13:12
68,7,1,12,4, 13 -Climate Action,prompt,bot,sustainability,choose-sdg,0,assign,9/30/2021,13:13,9/30/2021 13:13
69,7,1,13,5, No other SDGs,prompt,bot,sustainability,choose-sdg,0,assign,9/30/2021,13:13,9/30/2021 13:13
70,7,1,14,5, No other topics,prompt,bot,sustainability,choose-sdg,0,assign,9/30/2021,13:13,9/30/2021 13:13
71,7,1,15,4, Linger Done with carbon footprint,prompt,bot,main_topic,carbon-foot,0,resume,9/30/2021,13:13,9/30/2021 13:13
72,7,1,16,4, End,prompt,bot,end,bot,1,end,9/30/2021,13:13,9/30/2021 13:13
73,8,1,1,1,"""Do you think carbon emissions into water related to PVC piping is a good writing topic?""",query,user,user_main,main_topic,0,start,9/30/2021,14:40,9/30/2021 14:40
74,8,1,2,1,no match,bot_nomatch,bot,outscope,bot,0,skip,9/30/2021,14:40,9/30/2021 14:40
75,8,1,3,1,""" What format should this paper be in?""",query,user,user_write,writing,0,start,9/30/2021,14:41,9/30/2021 14:41
76,8,1,4,1, Route Activate --> submission requirements,bot_match,bot,writing,faq,0,start,9/30/2021,14:41,9/30/2021 14:41
77,8,1,5,2," No, other paper requirements",prompt,bot,writing,faq,0,abort,9/30/2021,14:42,9/30/2021 14:42
78,9,1,1,1,"""Should the topic of our paper be a more specific example or more general?""",query,user,user_write,writing,0,start,9/30/2021,23:00,9/30/2021 23:00
79,9,1,2,1, Route --> Top help,bot_match,bot,top,top,0,start,9/30/2021,23:00,9/30/2021 23:00
80,9,1,3,2, Water footprint,prompt,bot,main_topic,water,0,assign,9/30/2021,23:01,9/30/2021 23:01
81,9,1,4,3, Water footprint Definition,prompt,bot,main_topic,water,-1,abort,9/30/2021,23:01,9/30/2021 23:01
82,10,1,1,1, Yes ,prompt,bot,top,top,0,assign,10/1/2021,19:30,10/1/2021 19:30
83,10,1,2,1, Go --> Top help,bot_move,bot,top,top,0,start,10/1/2021,19:30,10/1/2021 19:30
84,10,1,3,2, Water footprint,prompt,bot,main_topic,water,0,assign,10/1/2021,19:31,10/1/2021 19:31
85,10,1,4,3, Sustainability,prompt,bot,main_topic,water,-1,abort,10/1/2021,19:31,10/1/2021 19:31
86,11,1,1,1, Yes ,prompt,bot,top,top,0,assign,10/2/2021,11:05,10/2/2021 11:05
87,11,1,2,1, Go --> Top help,bot_move,bot,top,top,0,start,10/2/2021,11:05,10/2/2021 11:05
88,11,1,3,2, Incorporating science,prompt,bot,science,general,0,start,10/2/2021,11:05,10/2/2021 11:05
89,11,1,4,3, Level of science information,prompt,bot,science,level,0,start,10/2/2021,11:05,10/2/2021 11:05
90,11,1,5,4," Yes, it help",prompt,bot,science,level,0,assign,10/2/2021,11:05,10/2/2021 11:05
91,11,1,6,4," Yes, additional questions",prompt,bot,science,level,0,assign,10/2/2021,11:05,10/2/2021 11:05
92,11,1,7,1, Go --> Top help,bot_move,bot,top,top,0,start,10/2/2021,11:05,10/2/2021 11:05
93,11,1,8,2, Carbon footprint,prompt,bot,main_topic,carbon-foot,0,start,10/2/2021,11:05,10/2/2021 11:05
94,11,1,9,3, CF Definition,prompt,bot,main_topic,carbon-foot,0,start,10/2/2021,11:05,10/2/2021 11:05
95,11,1,10,3, CF Sustainability,prompt,bot,main_topic,carbon-foot,0,start,10/2/2021,11:06,10/2/2021 11:06
96,11,1,11,4, 12 - Responsible Consumption and Production,prompt,bot,sustainability,choose-sdg,0,start,10/2/2021,11:06,10/2/2021 11:06
97,11,1,12,5," Yes, other SDGs",prompt,bot,sustainability,choose-sdg,0,assign,10/2/2021,11:06,10/2/2021 11:06
98,11,1,13,5, Go --> Explore SDGs,bot_move,bot,sustainability,choose-sdg,0,start,10/2/2021,11:06,10/2/2021 11:06
99,11,1,14,6, 14 -Life Below Water,prompt,bot,sustainability,choose-sdg,0,start,10/2/2021,11:06,10/2/2021 11:06
100,11,1,15,7, No other SDGs,prompt,bot,sustainability,choose-sdg,0,assign,10/2/2021,11:06,10/2/2021 11:06
101,11,1,16,7," Yes, other help",prompt,bot,sustainability,choose-sdg,0,assign,10/2/2021,11:06,10/2/2021 11:06
102,11,1,17,1, Go --> Top help,bot_move,bot,top,top,0,start,10/2/2021,11:07,10/2/2021 11:07
103,11,1,18,2, Checking and choosing topic,prompt,bot,writing,check-choose,0,start,10/2/2021,11:07,10/2/2021 11:07
104,11,1,19,3, I have an idea,prompt,bot,writing,check-choose,0,assign,10/2/2021,11:07,10/2/2021 11:07
105,11,1,20,4," Yes, main topic",prompt,bot,writing,check-choose,0,assign,10/2/2021,11:07,10/2/2021 11:07
106,11,1,21,4," Yes, sustainability",prompt,bot,writing,check-choose,0,assign,10/2/2021,11:08,10/2/2021 11:08
107,11,1,22,4," Yes, chemistry",prompt,bot,writing,check-choose,0,assign,10/2/2021,11:08,10/2/2021 11:08
108,11,1,23,4,No other modules,prompt,bot,writing,check-choose,0,end,10/2/2021,11:08,10/2/2021 11:08
109,11,1,24,4, Linger No carbon footprint,prompt,bot,main_topic,carbon-foot,0,resume,10/2/2021,11:08,10/2/2021 11:08
110,11,1,25,4, Linger No other SDGs,prompt,bot,sustainability,choose-sdg,-1,abort,10/2/2021,11:09,10/2/2021 11:09
111,12,1,1,1, Yes ,prompt,bot,top,top,0,assign,10/3/2021,09:10,10/3/2021 09:10
112,12,1,2,1, Go --> Top help,bot_move,bot,top,top,0,start,10/3/2021,09:10,10/3/2021 09:10
113,12,1,3,2, FAQs about technical details,prompt,bot,writing,faq,0,start,10/3/2021,09:10,10/3/2021 09:10
114,12,1,4,3, Paper tone,prompt,bot,writing,faq,0,start,10/3/2021,09:10,10/3/2021 09:10
115,12,1,5,4," Yes, see other technical details",prompt,bot,writing,faq,0,assign,10/3/2021,09:11,10/3/2021 09:11
116,12,1,6,2, Go --> FAQs,bot_move,bot,writing,faq,0,start,10/3/2021,09:11,10/3/2021 09:11
117,12,1,7,3, Submission requirements,prompt,bot,writing,faq,0,start,10/3/2021,09:11,10/3/2021 09:11
118,12,1,8,4," No, see other technical details",prompt,bot,writing,faq,0,assign,10/3/2021,09:11,10/3/2021 09:11
119,12,1,9,4," Yes, see modules",prompt,bot,writing,faq,0,assign,10/3/2021,09:12,10/3/2021 09:12
120,12,1,10,1, Go --> Top help,bot_move,bot,top,top,0,start,10/3/2021,09:12,10/3/2021 09:12
121,12,1,11,2, Checking and choosing a topic,prompt,bot,writing,check-choose,0,start,10/3/2021,09:12,10/3/2021 09:12
122,12,1,12,3, I need inspiration,prompt,bot,writing,check-choose,0,assign,10/3/2021,09:13,10/3/2021 09:13
123,12,1,13,4, Water Footprint,prompt,bot,main_topic,water,0,assign,10/3/2021,09:13,10/3/2021 09:13
124,12,1,14,2, Go --> Water footprint,bot_move,bot,main_topic,water,0,start,10/3/2021,09:13,10/3/2021 09:13
125,12,1,15,3, WF Impact,prompt,bot,main_topic,water,-1,abort,10/3/2021,09:13,10/3/2021 09:13
126,13,1,1,1, Yes ,prompt,bot,top,top,0,assign,10/3/2021,17:30,10/3/2021 17:30
127,13,1,2,1, Go --> Top help,bot_move,bot,top,top,0,start,10/3/2021,17:30,10/3/2021 17:30
128,13,1,3,2, FAQs about technical details,prompt,bot,writing,faq,0,start,10/3/2021,17:30,10/3/2021 17:30
129,13,1,4,3, Paper length,prompt,bot,writing,faq,0,start,10/3/2021,17:30,10/3/2021 17:30
130,13,1,5,4," Yes, see other technical details",prompt,bot,writing,faq,0,assign,10/3/2021,17:31,10/3/2021 17:31
131,13,1,6,2, Go --> FAQs,bot_move,bot,writing,faq,0,start,10/3/2021,17:31,10/3/2021 17:31
132,13,1,7,3, References,prompt,bot,writing,faq,0,start,10/3/2021,17:31,10/3/2021 17:31
133,13,1,8,4," Yes, see other technical details",prompt,bot,writing,faq,0,assign,10/3/2021,17:31,10/3/2021 17:31
134,13,1,9,2, Go --> FAQs,bot_move,bot,writing,faq,0,start,10/3/2021,17:30,10/3/2021 17:30
135,13,1,10,3, Paper tone,prompt,bot,writing,faq,0,start,10/3/2021,17:30,10/3/2021 17:30
136,13,1,11,4," Yes, see other technical details",prompt,bot,writing,faq,0,assign,10/3/2021,17:30,10/3/2021 17:30
137,13,1,12,2, Go --> FAQs,bot_move,bot,writing,faq,0,start,10/3/2021,17:30,10/3/2021 17:30
138,13,1,13,3, Submission requirements,prompt,bot,writing,faq,0,start,10/3/2021,17:30,10/3/2021 17:30
139,13,1,14,4," No, see other technical details",prompt,bot,writing,faq,0,assign,10/3/2021,17:30,10/3/2021 17:30
140,13,1,15,4," Yes, explore other topics",prompt,bot,writing,faq,0,assign,10/3/2021,17:30,10/3/2021 17:30
141,13,1,16,1, Go --> Top help,bot_move,bot,top,top,0,start,10/3/2021,17:30,10/3/2021 17:30
142,13,1,17,2, Checking and choosing a topic,prompt,bot,writing,check-choose,0,start,10/3/2021,17:30,10/3/2021 17:30
143,13,1,18,3, I need inspiration,prompt,bot,writing,check-choose,0,assign,10/3/2021,17:30,10/3/2021 17:30
144,13,1,19,4, Carbon footprint,prompt,bot,main_topic,carbon-foot,0,assign,10/3/2021,17:30,10/3/2021 17:30
145,13,1,20,2, Go --> Carbon footprint,bot_move,bot,main_topic,carbon-foot,-1,abort,10/3/2021,17:39,10/3/2021 17:39
146,14,1,1,1, Yes ,prompt,bot,top,top,0,assign,10/3/2021,21:42,10/3/2021 21:42
147,14,1,2,1, Go --> Top help,bot_move,bot,top,top,0,start,10/3/2021,21:42,10/3/2021 21:42
148,14,1,3,2, Checking and choosing a topic,prompt,bot,writing,check-choose,0,start,10/3/2021,21:42,10/3/2021 21:42
149,14,1,4,3, I need inspiration,prompt,bot,writing,check-choose,0,start,10/3/2021,21:42,10/3/2021 21:42
150,14,1,5,3, Embodied carbon,prompt,bot,main_topic,embody,0,assign,10/3/2021,21:43,10/3/2021 21:43
151,14,1,6,2, Go --> Embodied carbon,bot_move,bot,main_topic,embody,0,start,10/3/2021,21:43,10/3/2021 21:43
152,14,1,7,3, EC Definition,prompt,bot,main_topic,embody,0,start,10/3/2021,21:43,10/3/2021 21:43
153,14,1,8,3, Other topics,prompt,bot,main_topic,embody,0,assign,10/3/2021,21:44,10/3/2021 21:44
154,14,1,9,1, Go --> Top help,bot_move,bot,top,top,-1,abort,10/3/2021,21:44,10/3/2021 21:44
155,15,1,1,1, Yes ,prompt,bot,top,top,0,assign,10/3/2021,22:05,10/3/2021 22:05
156,15,1,2,1, Go --> Top help,bot_move,bot,top,top,0,start,10/3/2021,22:05,10/3/2021 22:05
157,15,1,3,2, Checking and choosing a topic,prompt,bot,writing,check-choose,0,start,10/3/2021,22:05,10/3/2021 22:05
158,15,1,4,3, I need inspiration,prompt,bot,writing,check-choose,0,assign,10/3/2021,22:05,10/3/2021 22:05
159,15,1,5,4, Water footprint,prompt,bot,main_topic,water,0,assign,10/3/2021,22:05,10/3/2021 22:05
160,15,1,6,2, Go --> Water footprint,bot_move,bot,main_topic,water,0,start,10/3/2021,22:05,10/3/2021 22:05
161,15,1,7,3, WF Definition,prompt,bot,main_topic,water,0,start,10/3/2021,22:05,10/3/2021 22:05
162,15,1,8,3, WF Impact,prompt,bot,main_topic,water,0,start,10/3/2021,22:05,10/3/2021 22:05
163,15,1,9,3, WF Sustainability,prompt,bot,main_topic,water,0,start,10/3/2021,22:05,10/3/2021 22:05
164,15,1,10,4, 6 - Clean Water SDG,prompt,bot,sustainability,choose-sdg,0,start,10/3/2021,22:05,10/3/2021 22:05
165,15,1,11,5, Yes other SDGs,prompt,bot,sustainability,choose-sdg,0,assign,10/3/2021,22:06,10/3/2021 22:06
166,15,1,12,5, Go --> Explore SDGs,bot_move,bot,sustainability,choose-sdg,0,start,10/3/2021,22:06,10/3/2021 22:06
167,15,1,13,6, 2 - Zero Hunger,prompt,bot,sustainability,choose-sdg,0,start,10/3/2021,22:06,10/3/2021 22:06
168,15,1,14,7, No SDGs,prompt,bot,sustainability,choose-sdg,0,assign,10/3/2021,22:06,10/3/2021 22:06
169,15,1,15,7," Yes, other modules",prompt,bot,sustainability,choose-sdg,0,assign,10/3/2021,22:06,10/3/2021 22:06
170,15,1,16,1, Go --> Top help,bot_move,bot,top,top,0,start,10/3/2021,22:06,10/3/2021 22:06
171,15,1,17,2, Incorporating science,prompt,bot,science,general,0,start,10/3/2021,22:06,10/3/2021 22:06
172,15,1,18,3, Level of science,prompt,bot,science,level,0,start,10/3/2021,22:06,10/3/2021 22:06
173,15,1,19,4," Yes, helps",prompt,bot,science,level,0,assign,10/3/2021,22:06,10/3/2021 22:06
174,15,1,20,4, Yes additional questions,prompt,bot,science,level,0,assign,10/3/2021,22:06,10/3/2021 22:06
175,15,1,21,1, Go --> Top help,bot_move,bot,top,top,0,start,10/3/2021,22:06,10/3/2021 22:06
176,15,1,22,2, Understanding sustainability,prompt,bot,sustainability,general,0,start,10/3/2021,22:07,10/3/2021 22:07
177,15,1,23,3, Check sustainability ,prompt,bot,sustainability,check-idea,0,assign,10/3/2021,22:07,10/3/2021 22:07
178,15,1,24,4, No,prompt,bot,sustainability,check-idea,0,assign,10/3/2021,22:07,10/3/2021 22:07
179,15,1,25,2, Linger Need help?,prompt,bot,sustainability,general,0,resume,10/3/2021,22:07,10/3/2021 22:07
180,15,1,26,2, Linger No,prompt,bot,science,level,0,end,10/3/2021,22:07,10/3/2021 22:07
181,15,1,27,2, End,prompt,bot,end,bot,1,end,10/3/2021,22:07,10/3/2021 22:07
182,16,1,1,1, Yes ,prompt,bot,top,top,0,assign,10/4/2021,09:45,10/4/2021 09:45
183,16,1,2,1, Go --> Top help,bot_move,bot,top,top,0,start,10/4/2021,09:45,10/4/2021 09:45
184,16,1,3,2, Carbon footprint,prompt,bot,main_topic,carbon-foot,0,start,10/4/2021,09:45,10/4/2021 09:45
185,16,1,4,3, CF Impact,prompt,bot,main_topic,carbon-foot,0,start,10/4/2021,09:45,10/4/2021 09:45
186,16,1,5,3, CF Sustainability,prompt,bot,main_topic,carbon-foot,0,start,10/4/2021,09:45,10/4/2021 09:45
187,16,1,6,4, I want to see all the SDGs ,prompt,bot,sustainability,choose-sdg,0,assign,10/4/2021,09:46,10/4/2021 09:46
188,16,1,7,4, Go --> Choose SDGs,bot_move,bot,sustainability,choose-sdg,0,start,10/4/2021,09:46,10/4/2021 09:46
189,16,1,8,5, 15 -Life on Land,prompt,bot,sustainability,choose-sdg,-1,abort,10/4/2021,09:46,10/4/2021 09:46
190,17,1,1,1, Yes ,prompt,bot,top,top,0,assign,10/4/2021,09:53,10/4/2021 09:53
191,17,1,2,1, Go --> Top help,bot_move,bot,top,top,0,start,10/4/2021,09:53,10/4/2021 09:53
192,17,1,3,2, Checking and choosing a topic,prompt,bot,writing,check-choose,0,start,10/4/2021,09:53,10/4/2021 09:53
193,17,1,4,3, I need an inspiration,prompt,bot,writing,check-choose,0,assign,10/4/2021,09:54,10/4/2021 09:54
194,17,1,5,4, Water footprint,prompt,bot,main_topic,water,0,assign,10/4/2021,09:54,10/4/2021 09:54
195,17,1,6,2, Go --> Water footprint,bot_move,bot,main_topic,water,0,start,10/4/2021,09:55,10/4/2021 09:55
196,17,1,7,3, WF Definition,prompt,bot,main_topic,water,-1,abort,10/4/2021,09:55,10/4/2021 09:55
197,18,1,1,1, Yes ,prompt,bot,top,top,0,assign,10/4/2021,14:20,10/4/2021 14:20
198,18,1,2,1, Go --> Top help,bot_move,bot,top,top,0,start,10/4/2021,14:20,10/4/2021 14:20
199,18,1,3,2, Checking and choosing a topic,prompt,bot,writing,check-choose,0,start,10/4/2021,14:20,10/4/2021 14:20
200,18,1,4,3, I need an inspiration,prompt,bot,writing,check-choose,0,assign,10/4/2021,14:20,10/4/2021 14:20
201,18,1,5,4, Water footprint,prompt,bot,writing,check-choose,0,assign,10/4/2021,14:20,10/4/2021 14:20
202,18,1,6,2, Go --> Water footprint,bot_move,bot,main_topic,water,0,start,10/4/2021,14:20,10/4/2021 14:20
203,18,1,7,3, WF Definition,prompt,bot,main_topic,water,0,assign,10/4/2021,14:21,10/4/2021 14:21
204,18,1,8,4, Explore other topics,prompt,bot,main_topic,water,0,assign,10/4/2021,14:21,10/4/2021 14:21
205,18,1,9,1, Go --> Top help,bot_move,bot,top,top,0,start,10/4/2021,14:21,10/4/2021 14:21
206,18,1,10,2, Water footprint,prompt,bot,main_topic,water,0,start,10/4/2021,14:22,10/4/2021 14:22
207,18,1,11,3, WF Impact,prompt,bot,main_topic,water,0,start,10/4/2021,14:22,10/4/2021 14:22
208,18,1,12,4, Other topics,prompt,bot,main_topic,water,0,assign,10/4/2021,14:22,10/4/2021 14:22
209,18,1,13,1, Go --> Top help,bot_move,bot,top,top,0,start,10/4/2021,14:22,10/4/2021 14:22
210,18,1,14,2, Incorporating science,prompt,bot,science,general,0,start,10/4/2021,14:22,10/4/2021 14:22
211,18,1,15,3, How much science,prompt,bot,science,how-much,0,assign,10/4/2021,14:23,10/4/2021 14:23
212,18,1,16,4," Yes, review paper topic",prompt,bot,science,how-much,0,assign,10/4/2021,14:23,10/4/2021 14:23
213,18,1,17,2, Go --> Checking and choosing a topic,bot_move,bot,writing,check-choose,0,start,10/4/2021,14:24,10/4/2021 14:24
214,18,1,18,3, I have an idea,prompt,bot,writing,check-choose,0,assign,10/4/2021,14:24,10/4/2021 14:24
215,18,1,19,4," Yes, topic",prompt,bot,writing,check-choose,0,assign,10/4/2021,14:24,10/4/2021 14:24
216,18,1,20,4," Yes, sustainability",prompt,bot,writing,check-choose,0,assign,10/4/2021,14:24,10/4/2021 14:24
217,18,1,21,4," No, chemistry",prompt,bot,writing,check-choose,0,assign,10/4/2021,14:25,10/4/2021 14:25
218,18,1,22,5, Incorporating science,prompt,bot,writing,check-choose,0,assign,10/4/2021,14:25,10/4/2021 14:25
219,18,1,23,2, Go -->Incorporating science,bot_move,bot,science,general,0,start,10/4/2021,14:25,10/4/2021 14:25
220,18,1,24,3, Level of science information,prompt,bot,science,level,0,start,10/4/2021,14:25,10/4/2021 14:25
221,18,1,25,4, Yes helps,prompt,bot,science,level,0,assign,10/4/2021,14:26,10/4/2021 14:26
222,18,1,26,4, Yes additional questions,prompt,bot,science,level,0,assign,10/4/2021,14:26,10/4/2021 14:26
223,18,1,27,1, Go --> Top help,bot_move,bot,top,top,0,start,10/4/2021,14:27,10/4/2021 14:27
224,18,1,28,2, Understanding sustainability,prompt,bot,sustainability,general,-1,abort,10/4/2021,14:27,10/4/2021 14:27
225,19,1,1,1, Yes ,prompt,bot,top,top,0,assign,10/6/2021,10:21,10/6/2021 10:21
226,19,1,2,1, Go --> Top help,bot_move,bot,top,top,0,start,10/6/2021,10:21,10/6/2021 10:21
227,19,1,3,2, Topic: Water Footprint,prompt,bot,main_topic,water,-1,abort,10/6/2021,10:22,10/6/2021 10:22
228,20,1,1,1, Yes ,prompt,bot,top,top,0,start,10/6/2021,15:12,10/6/2021 15:12
229,20,1,2,1, Go --> Top help,bot_move,bot,top,top,0,start,10/6/2021,15:12,10/6/2021 15:12
230,20,1,3,2, Checking and choosing a topic,prompt,bot,writing,check-choose,0,start,10/6/2021,15:12,10/6/2021 15:12
231,20,1,4,3, I need some inspiration,prompt,bot,writing,check-choose,0,assign,10/6/2021,15:12,10/6/2021 15:12
232,20,1,5,4, Water footprint,prompt,bot,writing,check-choose,0,assign,10/6/2021,15:12,10/6/2021 15:12
